codigo,titulo,revista,tipo,autores,año,mes,dia,doi,fuente
HEV0,BACRank: Ranking Building Automation and Control System Components by Business Continuity Impact,Lecture Notes in Computer Science,book-chapter,Herson Esquivel-Vargas;Marco Caselli;Erik Tews;Doina Bucur;Andreas Peter,2019,,,10.1007/978-3-030-26601-1_13,crossref_doi
HEV0,Automatic Deployment of Specification-based Intrusion Detection in the BACnet Protocol,Proceedings of the 2017 Workshop on Cyber-Physical Systems Security and PrivaCy,proceedings-article,Herson Esquivel-Vargas;Marco Caselli;Andreas Peter,2017,11,3,10.1145/3140241.3140244,crossref_doi
LCR0,Curvature-dependent propulsion of elastic flagella,Soft Matter,journal-article,Taylor E. Greenwood;Luis Felipe Córdoba;Jian Teng;Saebom Lee;Genevieve Dare;Ebru Demir;On Shun Pak;Yong Lin Kong,2025,,,10.1039/D4SM01548G,crossref_doi
CVS0,Experimental Study of Gas Microbubbles on Oil‐Infused Wrinkled Surfaces,Advanced Materials Interfaces,journal-article,Leo James;Christopher Vega‐Sánchez;Priya Mehta;Xuehua Zhang;Chiara Neto,2025,4,27,10.1002/admi.202500160,crossref_doi
CVS0,Encapsulation of Oil Droplets Using Film-Forming Janus Nanoparticles,Langmuir,journal-article,Geosmin Turpin;Duc Nguyen;Kathryn Isobel Sypkes;Christopher Vega-Sánchez;Tim Davey;Brian S. Hawkett;Chiara Neto,2025,1,29,10.1021/acs.langmuir.4c03843,crossref_doi
CVS0,Synthesis of Anisotropic Gold Microparticles via L‐Glutathione‐Mediated Pathways in Droplet Microfluidics,Particle &amp; Particle Systems Characterization,journal-article,Zhenxu Yang;Qiankun Yin;Mengfan He;Shin‐Wei Chong;Zhejun Xu;Xiaochen Liu;Christopher Vega‐Sánchez;Arun Jaiswal;Daniele Vigolo;Ken‐Tye Yong,2024,6,7,10.1002/ppsc.202400056,crossref_doi
CVS0,Fluid Slip and Drag Reduction on Liquid-Infused Surfaces under High Static Pressure,Langmuir,journal-article,Christopher Vega-Sánchez;Chiara Neto,2024,2,15,10.1021/acs.langmuir.3c03792,crossref_doi
CVS0,Slightly Depleted Lubricant-Infused Surfaces Are No Longer Slippery,Langmuir,journal-article,Christopher Vega-Sánchez;Chiara Neto,2022,8,16,10.1021/acs.langmuir.2c01412,crossref_doi
CVS0,Detection of Nanobubbles on Lubricant-Infused Surfaces Using AFM Meniscus Force Measurements,Langmuir,journal-article,Sam Peppou-Chapman;Christopher Vega-Sánchez;Chiara Neto,2022,8,12,10.1021/acs.langmuir.2c01411,crossref_doi
CVS0,Pressure Drop Measurements in Microfluidic Devices: A Review on the Accurate Quantification of Interfacial Slip,Advanced Materials Interfaces,journal-article,Christopher Vega‐Sánchez;Chiara Neto,2021,12,13,10.1002/admi.202101641,crossref_doi
CVS0,Nanobubbles explain the large slip observed on lubricant-infused surfaces,Nature Communications,journal-article,Christopher Vega-Sánchez;Sam Peppou-Chapman;Liwen Zhu;Chiara Neto,2022,1,17,10.1038/s41467-022-28016-1,crossref_doi
JGF0,Efficiency-aware nonlinear model-predictive control with real-time iteration scheme for wave energy converters,International Journal of Control,journal-article,Juan L. Guerrero-Fernandez;Oscar J. González-Villarreal;John Anthony Rossiter,2022,5,26,10.1080/00207179.2022.2078424,crossref_doi
JGF0,Nonlinear Model Predictive Control Based on Real-Time Iteration Scheme for Wave Energy Converters Using WEC-Sim,Volume 8: Ocean Renewable Energy,proceedings-article,Juan Luis Guerrero-Fernández;Nathan Michael Tom;John Anthony Rossiter,2022,6,5,10.1115/OMAE2022-80972,crossref_doi
JGF0,Model Predictive Control for Wave Energy Converters: A Moving Window Blocking Approach,IFAC-PapersOnLine,journal-article,Juan Guerrero-Fernández;Oscar J. González-Villarreal;John Anthony Rossiter;Bryn Jones,2020,,,10.1016/j.ifacol.2020.12.1960,crossref_doi
COZ0,"Propuesta metodológica de caracterización del mercado de la biomasa para fines energéticos, caso del arroz costarricense",Revista Tecnología en Marcha,journal-article,Laura Patricia Brenes-Peralta;María Fernanda Jiménez-Morales;Dagoberto Arias-Aguilar;Juan Carlos Valverde-Otárola;Manuel Masís-Jiménez;Daniela Valverde-Rodríguez;Rooel Campos-Rodríguez,2022,8,1,10.18845/tm.v35i7.6337,crossref_doi
COZ0,Influence of 3D printing settings on mechanical properties of ABS at room temperature and 77 K,Additive Manufacturing,journal-article,F. Saenz;C. Otarola;K. Valladares;J. Rojas,2021,3,,10.1016/j.addma.2021.101841,crossref_doi
COZ0,Revisión de los perfiles aerodinámicos apropiados para turbinas eólicas de eje horizontal y de pequeña escala en zonas boscosas,Revista Lasallista de Investigación,journal-article,Gustavo Richmond-Navarro;Mariana Montenegro-Montero;Carlos Otárola,2020,9,7,10.22507/rli.v17n1a22,crossref_doi
COZ0,Implementation of stellarator of Costa Rica 1 SCR-1,2015 IEEE 26th Symposium on Fusion Engineering (SOFE),proceedings-article,V.I. Vargas;J. Mora;C. Otarola;E. Zamora;J. Asenjo;A. Mora;E. Villalobos,2015,5,,10.1109/SOFE.2015.7482321,crossref_doi
COZ0,Constructing a small modular stellarator in Latin America,Journal of Physics: Conference Series,journal-article,V I Vargas;J Mora;J Asenjo;E Zamora;C Otárola;L Barillas;J Carvajal-Godínez;J González-Gómez;C Soto-Soto;C Piedras,2015,3,24,10.1088/1742-6596/591/1/012016,crossref_doi
COZ0,Engineering of the Stellarator of Costa Rica: SCR-1,Journal of Physics: Conference Series,journal-article,J Mora;V I Vargas;C Otarola;C Piedra;W Jimenez;L Esquivel;R Esquivel;K Sanchez;J Gonzalez;J Asenjo;L Fonseca,2015,3,24,10.1088/1742-6596/591/1/012017,crossref_doi
COZ0,Engineering issues to the stellerator of Costa Rica 1,2013 IEEE 25th Symposium on Fusion Engineering (SOFE),proceedings-article,V. I. Vargas;J. Mora;J. Asenjo;E. Zamora;C. Otarola;J. Carvajal-Godinez;J. Gonzalez-Gomez;C. Soto-Soto;C. Piedras;L. Barillas;C. Ribeiro,2013,6,,10.1109/sofe.2013.6635443,crossref_doi
LMS0,Distributed Detection Algorithm for Photo-Voltaic Solar Arrays Based on Least Significant Difference Test,Communications in Computer and Information Science,book-chapter,Luis D. Murillo-Soto;Carlos Meza;Cindy Calderón-Arce,2025,,,10.1007/978-3-031-85324-1_3,crossref_doi
LMS0,Low-Cost IoT System Prototype to Detect Supbotimal Conditions in PV Arrays,Communications in Computer and Information Science,book-chapter,Leonardo Cardinale-Villalobos;Luis D. Murillo-Soto;Rubén Brenes,2025,,,10.1007/978-3-031-85324-1_1,crossref_doi
LMS0,Detection of Suboptimal Conditions in Photovoltaic Systems Integrating Data from Several Domains,Communications in Computer and Information Science,book-chapter,Leonardo Cardinale-Villalobos;Luis D. Murillo-Soto;Efrén Jimenez-Delgado;Jose Andrey Sequeira,2024,,,10.1007/978-3-031-52517-9_2,crossref_doi
LMS0,Validation of an outdoor efficiency model for photovoltaic modules,Revista Facultad de Ingeniería Universidad de Antioquia,journal-article,Luis Diego Murillo-Soto;Carlos Meza-Benavides,2022,9,12,10.17533/udea.redin.20220991,crossref_doi
LMS0,Evaluación de la producción energética para el sistema fotovoltaico con microinversores instalado en el edificio de rectoría del Tecnológico de Costa Rica,Revista Tecnología en Marcha,journal-article,Luis Diego Murillo-Soto;Hugo Sánchez-Ortiz;Carlos Meza,2022,8,1,10.18845/tm.v35i7.6334,crossref_doi
LMS0,"Quantitative Comparison of Infrared Thermography, Visual Inspection, and Electrical Analysis Techniques on Photovoltaic Modules: A Case Study",Energies,journal-article,Leonardo Cardinale-Villalobos;Carlos Meza;Abel Méndez-Porras;Luis D. Murillo-Soto,2022,3,2,10.3390/en15051841,crossref_doi
LMS0,Detection Criterion for Progressive Faults in Photovoltaic Modules Based on Differential Voltage Measurements,Applied Sciences,journal-article,Luis Diego Murillo-Soto;Carlos Meza,2022,3,1,10.3390/app12052565,crossref_doi
LMS0,Automated Fault Management System in a Photovoltaic Array: A Reconfiguration-Based Approach,Energies,journal-article,Luis D. Murillo-Soto;Carlos Meza,2021,4,23,10.3390/en14092397,crossref_doi
LMS0,Detection of Suboptimal Conditions in Photovoltaic Installations for Household-Prosumers,Lecture Notes in Networks and Systems,book-chapter,Dalberth Corrales;Leonardo Cardinale-Villalobos;Carlos Meza;Luis Diego Murillo-Soto,2022,,,10.1007/978-3-030-78901-5_3,crossref_doi
LMS0,Experimental Comparison of Visual Inspection and Infrared Thermography for the Detection of Soling and Partial Shading in Photovoltaic Arrays,Communications in Computer and Information Science,book-chapter,Leonardo Cardinale-Villalobos;Carlos Meza;Luis D. Murillo-Soto,2021,,,10.1007/978-3-030-69136-3_21,crossref_doi
LMS0,Photovoltaic Array Fault Detection Algorithm Based on Least Significant Difference Test,Communications in Computer and Information Science,book-chapter,Luis Diego Murillo-Soto;Carlos Meza,2020,,,10.1007/978-3-030-61834-6_43,crossref_doi
LMS0,Fault detection in solar arrays based on an efficiency threshold,2020 IEEE 11th Latin American Symposium on Circuits &amp; Systems (LASCAS),proceedings-article,Luis D. Murillo-Soto;Carlos Meza,2020,2,,10.1109/lascas45839.2020.9069046,crossref_doi
LMS0,Diagnose Algorithm and Fault Characterization for Photovoltaic Arrays: A Simulation Study,Lecture Notes in Electrical Engineering,book-chapter,Luis D. Murillo-Soto;Carlos Meza,2020,,,10.1007/978-3-030-37161-6_43,crossref_doi
LMS0,A Simple Temperature and Irradiance-Dependent Expression for the Efficiency of Photovoltaic Cells and Modules,2018 IEEE 38th Central America and Panama Convention (CONCAPAN XXXVIII),proceedings-article,Luis D. Murillo-Soto;Carlos Meza,2018,11,,10.1109/CONCAPAN.2018.8596458,crossref_doi
LMS0,Detección de faltas en motores eléctricos con base en índices de potencias y redes neuronales,Revista Tecnología en Marcha,journal-article,Luis Diego Murillo-Soto;Cindy Calderón-Arce;Geovanni Figueroa-Mata,2018,3,22,10.18845/tm.v31i1.3499,crossref_doi
LMS0,Diseño e implementación del sistema de diagnóstico de fallos usando redes de petri interpretadas y coloreadas,Revista Tecnología en Marcha,journal-article,Luis Diego Murillo-Soto,2018,3,22,10.18845/tm.v31i1.3493,crossref_doi
LMS0,Identification of the Internal Resistance in Solar Modules Under Dark Conditions Using Differential Evolution Algorithm,2018 IEEE International Work Conference on Bioinspired Intelligence (IWOBI),proceedings-article,Luis D. Murillo-Soto;Geovanni Figueroa-Mata;Carlos Meza,2018,7,,10.1109/IWOBI.2018.8464197,crossref_doi
LMS0,Voltage measurement in a reconfigurable solar array with series-parallel topology,2017 IEEE 37th Central America and Panama Convention (CONCAPAN XXXVII),proceedings-article,Luis D. Murillo-Soto;Carlos Meza,2017,11,,10.1109/CONCAPAN.2017.8278484,crossref_doi
LMS0,Automation of small-scale with Open Hardware,Revista Tecnología en Marcha,journal-article,Luis Diego Murillo-Soto,2015,3,3,10.18845/tm.v28i1.2188,crossref_doi
LMS0,Diseño del programa de control para una celda de manufactura flexible didáctica,Revista Tecnología en Marcha,journal-article,Luis Diego Murillo-Soto,2014,9,1,10.18845/tm.v27i3.2065,crossref_doi
GGR0,Análisis del Límite Técnico en la  Integración de Energías Renovables  y Generación Distribuida en las  Redes Eléctricas de Costa Rica,Investiga.TEC,journal-article,Gustavo Adolfo Gómez-Ramírez;Rebeca Solis-Ortega,2025,5,30,10.18845/itec.v18i53.8017,crossref_doi
GGR0,Modelado de Redes de Distribución usando ETAP,Revista Tecnología en Marcha,journal-article,Rebeca Solis-Ortega;Gustavo A. Gómez-Ramírez;Dario Brenes-Fallas;José Pablo Morales-Hern ́andez;Marlon Umaña-Mondragón,2025,4,8,10.18845/tm.v38i2.7104,crossref_doi
GGR0,Evaluación del comportamiento de la demanda en el modelado de las redes de distribución,Revista Tecnología en Marcha,journal-article,Rebeca Solis-Ortega;Gustavo Adolfo Gómez Ramírez;Kervyn Josué Sáenz-González;Alfredo Josué Ellis-Rodríguez;William Johan Navarro-Alpízar,2024,12,20,10.18845/tm.v38i1.7050,crossref_doi
GGR0,Electrochemical Storage and Flexibility in Transfer Capacities: Strategies and Uses for Vulnerable Power Grids,Energies,journal-article,Gustavo Adolfo Gómez-Ramírez;Luis García-Santander;José Rodrigo Rojas-Morales;Markel Lazkano-Zubiaga;Carlos Meza,2024,11,23,10.3390/en17235878,crossref_doi
GGR0,Increasing flexibility in vulnerable power grids using electrochemical storage,Heliyon,journal-article,Gustavo Adolfo Gómez-Ramírez;Luis García-Santander;Markel Zubiaga Lazkano;Carlos Meza,2024,8,,10.1016/j.heliyon.2024.e35710,crossref_doi
GGR0,Hacia el mejoramiento de la gestión de activos de equipos críticos en Pymes: propuesta de metodología e implementación,Revista Tecnología en Marcha,journal-article,Miguel Ángel Segura-Monge;Gustavo Adolfo Gómez-Ramírez;Greivin Barahona-Guzmán;Juan José Montero-Jiménez,2024,4,9,10.18845/tm.v37i2.6699,crossref_doi
GGR0,Impact of electric vechicles on power transmission grids,Heliyon,journal-article,Gustavo Adolfo Gómez-Ramírez;Rebeca Solis-Ortega;Luis Alberto Ross-Lépiz,2023,11,,10.1016/j.heliyon.2023.e22253,crossref_doi
GGR0,"The Central American Power System: Achievements, Challenges, and Opportunities for a Green Transition",Energies,journal-article,Gustavo Adolfo Gómez-Ramírez;Carlos Meza;Gonzalo Mora-Jiménez;José Rodrigo Rojas Morales;Luis García-Santander,2023,5,25,10.3390/en16114328,crossref_doi
GGR0,Simulación del sistema de interconexión eléctrica de los países de América Central usando ETAP,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez;Gonzalo Mora-Jiménez;Carlos Meza,2023,3,6,10.18845/tm.v36i2.6007,crossref_doi
GGR0,Metodología para la implementación de sistemas fotovoltaicos con almacenamiento para pequeñas industrias,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez;Carlos Alberto Bolaños-Jiménez,2022,12,14,10.18845/tm.v36i1.5843,crossref_doi
GGR0,Metodología para Evaluar la Condición de Transformadores Eléctricos de Potencia Basada en un Índice de Salud Compuesto,Ingeniería,journal-article,Oscar Nuñez Mata;Gustavo Gómez-Ramírez;Fauricio Acuña Rojas;César González Solís,2022,11,29,10.15517/ri.v33i1.50613,crossref_doi
GGR0,Motor bearing failures detection by using vibration data,2022 IEEE 40th Central America and Panama Convention (CONCAPAN),proceedings-article,Jose Ignacio Rodriguez-Rodriguez;Oscar Nunez-Mata;Gustavo Gomez-Ramirez,2022,11,9,10.1109/concapan48024.2022.9997595,crossref_doi
GGR0,Increasing Distribution Network Capacity through Storage in Central American Countries: A Case Study,2022 IEEE International Conference on Automation/XXV Congress of the Chilean Association of Automatic Control (ICA-ACCA),proceedings-article,Gustavo A. Gomez-Ramirez;Isaac A. Luevano-Reyes;Gonzalo Mora-Jimenez;Luis Garcia-Santander;Markel Zubiaga Laskano;Carlos Meza,2022,10,24,10.1109/ica-acca56767.2022.10006043,crossref_doi
GGR0,Índice de estimación de la vida residual en transformadores eléctricos de potencia basado en condición,Revista Tecnología en Marcha,journal-article,José Manuel Castro-Meneses;Gustavo A. Gómez-Ramírez;Oscar Núñez-Mata,2022,9,30,10.18845/tm.v35i4.5776,crossref_doi
GGR0,Challenges of Storage in  Large Power Systems,Revista Tecnología en Marcha,journal-article,Gustavo A. Gómez-Ramírez;Carlos Meza,2021,12,13,10.18845/tm.v34i7.6016,crossref_doi
GGR0,Demand Response Improvement using Storage Power Systems: Case study of Honduras,"2021 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)",proceedings-article,Gustavo A. Gomez-Ramirez;Isaac A. Luevano-Reyes;Carlos Meza;Luis Garcia-Santander,2021,12,6,10.1109/chilecon54041.2021.9703062,crossref_doi
GGR0,Electric Vehicle Penetration Modelling for Costa Rica Power System,"2021 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)",proceedings-article,Gustavo A. Gomez-Ramirez;Rebeca Solis-Ortega,2021,12,6,10.1109/chilecon54041.2021.9703070,crossref_doi
GGR0,Oportunidades y desafíos para la integración de almacenamiento electroquímico en las redes eléctricas centroamericanas,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez;Carlos Meza;Sergio Morales-Hernández,2021,6,29,10.18845/tm.v34i3.5352,crossref_doi
GGR0,Assessment of Power Transformers using a Methodology Based on Health Indices,2021 IEEE International Conference on Automation/XXIV Congress of the Chilean Association of Automatic Control (ICA-ACCA),proceedings-article,Oscar Nunez-Mata;Fauricio Acuna-Rojas;Cesar Gonzalez-Solis;Gustavo Gomez-Ramirez,2021,3,22,10.1109/icaacca51523.2021.9465245,crossref_doi
GGR0,Metodología indirecta para la estimación de vida útil residual de transformadores de potencia a partir de la evaluación de los materiales dieléctricos,Revista Tecnología en Marcha,journal-article,Luis Diego Acuña-Barrantes;Gustavo Adolfo Gómez Ramírez,2020,7,23,10.18845/tm.v33i3.4485,crossref_doi
GGR0,Potencia Reactiva: del despacho óptimo al cobro de tarifas - PARTE B,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez,2019,5,16,10.18845/tm.v32i2.4347,crossref_doi
GGR0,Potencia Reactiva: Despacho Óptimo con una programación lineal-PARTE A,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez,2019,3,1,10.18845/tm.v32i1.4116,crossref_doi
GGR0,New Proposal of Electric Rates in Costa Rica,2018 IEEE 38th Central America and Panama Convention (CONCAPAN XXXVIII),proceedings-article,Gustavo Adolfo Gomez Ramirez,2018,11,,10.1109/concapan.2018.8596324,crossref_doi
GGR0,Medición de Descargas Parciales en Transformadores de Potencia bajo los estándares internacionales IEC e IEEE,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez,2018,3,22,10.18845/tm.v31i1.3498,crossref_title
GGR0,Comportamiento de los aislamientos sólidos de transformadores de potencia en condiciones ambientales no controladas,Revista Tecnología en Marcha,journal-article,Gustavo Jiménez-Araya;Gustavo Adolfo Gómez-Ramírez,2016,11,11,10.18845/tm.v29i3.2891,crossref_title
GGR0,Evolución y tendencias de índices de confiabilidad en sistemas eléctricos de potencia,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez,2016,8,30,10.18845/tm.v29i2.2687,crossref_title
GGR0,Introducing saturation characteristic fitting techniques for power transformers in the Costa Rican Electrical Network,2016 IEEE 36th Central American and Panama Convention (CONCAPAN XXXVI),proceedings-article,Jorge Navarro;Leonardo Montealegre;Gustavo Gomez,2016,11,,10.1109/CONCAPAN.2016.7942381,crossref_doi
GGR0,Metodología para el análisis y retiro de activos: transformadores de potencia,Revista Tecnología en Marcha,journal-article,Gustavo Adolfo Gómez-Ramírez,2015,9,1,10.18845/tm.v28i3.2416,crossref_title
GRN0,Roughness sub-layer wind speed model for tropical wooded areas,Wind Engineering,journal-article,Gustavo Richmond-Navarro;Mariana Montenegro-Montero;Pedro Casanova-Treto;Franklin Hernández-Castro;Jorge Monge-Fallas,2022,1,7,10.1177/0309524X211050081,crossref_doi
GRN0,Shrouded wind turbine performance in yawed turbulent flow conditions,Wind Engineering,journal-article,Gustavo Richmond-Navarro;Takanori Uchida;Williams R. Calderón-Muñoz,2021,8,4,10.1177/0309524X211036041,crossref_doi
GRN0,Aerodynamic performance simulation of three selected airfoils,Universidad Ciencia y Tecnología,journal-article,Mariana Montenegro Montero;Gustavo Richmond Navarro,2021,12,12,10.47460/uct.v25i111.532,crossref_doi
GRN0,Generalidades del recurso eólico en Costa Rica: caso de estudio de la provincia de Cartago,Revista Tecnología en Marcha,journal-article,Gustavo Murillo-Zumbado;Gustavo Richmond-Navarro;Pedro Casanova-Treto;Julio César Rojas-Gómez,2021,9,30,10.18845/tm.v34i4.5274,crossref_doi
GRN0,Efecto de un difusor tipo wind lens en flujo turbulento,Uniciencia,journal-article,Gustavo Richmond-Navarro;Pedro Casanova-Treto;Franklin Hernández-Castro,2021,7,31,10.15359/ru.35-2.7,crossref_doi
GRN0,Research Opportunities for Renewable Energy Electrification in Remote Areas of Costa Rica,Perspectives on Global Development and Technology,journal-article,Gustavo Richmond-Navarro;Rolando Madriz-Vargas;Noel Ureña-Sandí;Fabian Barrientos-Johansson,2019,12,10,10.1163/15691497-12341530,crossref_doi
GRN0,Dimensionamiento de sistemas fotovoltaicos mediante una interfaz gráfica,Revista Tecnología en Marcha,journal-article,Kenneth Vega-Carranza;Juan Francisco Piedra-Segura;Gustavo Richmond-Navarro,2019,7,26,10.18845/tm.v32i3.4480,crossref_doi
GRN0,Estado actual de la investigación sobre turbinas eólicas en Costa Rica,Revista Tecnología en Marcha,journal-article,Gustavo Richmond-Navarro;Gustavo Murillo-Zumbado;Pedro Casanova-Treto;Juan Francisco Piedra-Segura,2019,5,16,10.18845/tm.v32i2.4349,crossref_doi
GRN0,CFD Modeling of Plasma Gasification Reactor for Municipal Solid Waste,IEEE Transactions on Plasma Science,journal-article,Francisco Rojas-Perez;Jose A. Castillo-Benavides;Gustavo Richmond-Navarro;Esteban Zamora,2018,7,,10.1109/TPS.2018.2844867,crossref_doi
GRN0,High correlation models for small scale Magnus wind turbines,2018 5th International Conference on Renewable Energy: Generation and Applications (ICREGA),proceedings-article,Gustavo Richmond-Navarro;Noel Urena-Sandi;Giancarlo Rodriguez,2018,2,,10.1109/ICREGA.2018.8337574,crossref_doi
GRN0,A Magnus Wind Turbine Power Model Based on Direct Solutions Using the Blade Element Momentum Theory and Symbolic Regression,IEEE Transactions on Sustainable Energy,journal-article,Gustavo Richmond-Navarro;Williams R. Calderon-Munoz;Richard LeBoeuf;Pablo Castillo,2017,1,,10.1109/TSTE.2016.2604082,crossref_doi
GRN0,Desempeño de turbinas eólicas Magnus de eje horizontal en función de sus variables geométricas y cinemáticas,Revista Tecnología en Marcha,journal-article,Gustavo Richmond-Navarro,2016,4,20,10.18845/tm.v29i1.2537,crossref_title
GRN0,Optimización y análisis de sensibilidad de turbinas eólicas Magnus de pequeña escala,"Proceedings of the 14th LACCEI International Multi-Conference for Engineering, Education, and Technology: “Engineering Innovations for Global Sustainability”",proceedings-article,Gustavo Richmond Navarro,2016,,,10.18687/laccei2016.1.1.027,crossref_title
JMJ0,An ontology model for maintenance strategy selection and assessment,Journal of Intelligent Manufacturing,journal-article,Juan José Montero Jiménez;Rob Vingerhoeds;Bernard Grabot;Sébastien Schwartz,2021,11,29,10.1007/s10845-021-01855-3,crossref_doi
JMJ0,An unsupervised approach for health index building and for similarity-based remaining useful life estimation,Computers in Industry,journal-article,Sébastien Schwartz;Juan José Montero Jiménez;Rob Vingerhoeds;Michel Salaün,2022,10,,10.1016/J.COMPIND.2022.103716,crossref_doi
JMJ0,Enhancing predictive maintenance architecture process by using ontology-enabled Case-Based Reasoning,2021 IEEE International Symposium on Systems Engineering (ISSE),proceedings-article,Juan Jose Montero-Jimenez;Rob Vingerhoeds;Bernard Grabot,2021,9,13,10.1109/ISSE51541.2021.9582535,crossref_doi
JMJ0,Towards multi-model approaches to predictive maintenance: A systematic literature survey on diagnostics and prognostics,Journal of Manufacturing Systems,journal-article,Juan José Montero Jimenez;Sébastien Schwartz;Rob Vingerhoeds;Bernard Grabot;Michel Salaün,2020,7,,10.1016/j.jmsy.2020.07.008,crossref_doi
JMJ0,A fault mode identification methodology based on self-organizing map,Neural Computing and Applications,journal-article,Sébastien Schwartz;Juan José Montero Jimenez;Michel Salaün;Rob Vingerhoeds,2020,1,1,10.1007/S00521-019-04692-X,crossref_doi
JMJ0,A System Engineering Approach to Predictive Maintenance Systems: from needs and desires to logical architecture,2019 International Symposium on Systems Engineering (ISSE),proceedings-article,Juan Jose Montero Jimenez;Rob Vingerhoeds,2019,10,,10.1109/ISSE46696.2019.8984559,crossref_doi
FMG0,Modelo dinámico de la velocidad del viento en una zona boscosa tropical,Revista Tecnología en Marcha,journal-article,Gustavo Richmond-Navarro;Gustavo Murillo-Zumbado;Frank Marín-Guillén;Pedro Casanova-Treto,2022,3,30,10.18845/tm.v35i2.5465,crossref_doi
RMC0,Estimación de la rentabilidad de una turbina eólica comercial de pequeña escala en Costa Rica,Revista Tecnología en Marcha,journal-article,Rosa Matarrita-Chaves;Gustavo Richmond-Navarro;Gustavo Murillo-Zumbado;Maximino Jiménez-Ceciliano,2022,8,1,10.18845/tm.v35i7.6329,crossref_doi
